id,source_file,work_order,customer_name,entry_date,operator,part_name,start_time,finish_time,process_time,total_time,material,material_size,total_parts,yield_status,scrap_count,defects_count,notes,department,created_at,updated_at
23104,PIEDMONT 43086388.xlsx,,PIEDMONT,2024-12-04,"F,H",ME-HIS-SHIM,07:30:00,09:30:00,,2.0,BLK,.125X48X96,,308 PCS.,,,,,2025-12-23 18:52:41,2025-12-23 18:52:41
21979,STEELTECH 19611.xlsx,,STEELTECH,2024-12-05,"F,H",ITEM38,08:00:00,08:15:00,,0.25,PCORR,4M48X96,,2,,,,,2025-12-23 18:52:38,2025-12-23 18:52:38
21543,RICHFIELD 60615.xlsx,,RICHFIELD,2024-12-06,"F,H",15472 DET 53,10:30:00,03:15:00,,4.0,NAT UHMW,,,,,,,,2025-12-23 18:52:36,2025-12-23 18:52:36
23620,Bertec 018094.xlsx,,Bertec,2024-12-09,"F,H",02P-15882,08:00:00,08:45:00,,,,,,,,,,,2025-12-23 18:52:42,2025-12-23 18:52:42
25323,IZA 4942-5.xlsx,,IZA,2024-12-11,"F,H",DET 22,01:45:00,03:15:00,,1.25,NAT UHMW,.50X48X120,,20 PCS.,,,,,2025-12-23 18:52:48,2025-12-23 18:52:48
25324,IZA 4942-5.xlsx,,IZA,2024-12-12,"F,H",DET 22,08:15:00,03:00:00,,5.75,NAT UHMW,.50X48X120,,20 PCS.,,,,,2025-12-23 18:52:48,2025-12-23 18:52:48
25327,IZA 4942-5.xlsx,,IZA,2024-12-13,"F,H",DET 25,08:00:00,03:15:00,,6.25,NAT UHMW,.50X48X120,,56,,,,,2025-12-23 18:52:48,2025-12-23 18:52:48
25329,IZA 4942-5.xlsx,,IZA,2024-12-16,"F,H",DET 22,08:00:00,03:15:00,,6.25,NAT UHMW,.50X48X120,,20 PCS.,,,,,2025-12-23 18:52:48,2025-12-23 18:52:48
25330,IZA 4942-5.xlsx,,IZA,2024-12-17,"F,H",DET 22,07:30:00,11:00:00,,3.25,NAT UHMW,.50X48X120,,20 PCS.,,,,,2025-12-23 18:52:48,2025-12-23 18:52:48
25947,STEPHEN GOULD 54601.xlsx,,STEPHEN GOULD,2024-12-17,"F,H",LOWER PROF A,09:00:00,03:30:00,,5.5,,,16,,,,,,2025-12-23 18:52:50,2025-12-23 18:52:50
25948,STEPHEN GOULD 54601.xlsx,,STEPHEN GOULD,2024-12-18,"F,H",LOWER PROF A,07:30:00,11:00:00,,3.25,,,,,,,,,2025-12-23 18:52:50,2025-12-23 18:52:50
21548,RICHFIELD 60615.xlsx,,RICHFIELD,2024-12-20,"F,H",15472 DET 53,08:15:00,11:15:00,,2.75,NAT UHMW,,,,,,,,2025-12-23 18:52:36,2025-12-23 18:52:36
21550,RICHFIELD 60615.xlsx,,RICHFIELD,2024-12-23,"F,H",15472 DET 53,07:30:00,03:15:00,,6.75,NAT UHMW,,,,,,,,2025-12-23 18:52:36,2025-12-23 18:52:36
21553,RICHFIELD 60615.xlsx,,RICHFIELD,2024-12-27,"F,H",15472 DET 55,07:30:00,03:15:00,,6.75,,,,,,,,,2025-12-23 18:52:36,2025-12-23 18:52:36
21554,RICHFIELD 60615.xlsx,,RICHFIELD,2024-12-30,"F,H",15472 DET 55,07:30:00,09:30:00,,2.0,,,,,,,,,2025-12-23 18:52:36,2025-12-23 18:52:36
25221,AOC 38309.xlsx,,AOC,2024-12-30,"F,H",W13542,10:45:00,03:15:00,,,,,,,,,,,2025-12-23 18:52:48,2025-12-23 18:52:48
